ID,x,y,RA_deg,Dec_deg,area_px,elongation,size_ratio,class_guess
1,732.1895198629372,0.6097269472642325,175.21154683016888,47.576782623525325,25.0,2.2953740882418066,1.0170250584587643,galaxy?
2,1267.0177597945797,4.12378059524255,175.20118678464516,47.63521581016645,35.0,1.073675100009693,1.0876358199074625,star?
3,1228.571689909688,8.40857930410643,175.20266733924407,47.6310780202193,50.0,1.0627885512717419,1.3236905550537101,galaxy?
4,889.5383635011232,22.27849248665774,175.2118417628894,47.59425866951204,54.0,1.137296110670989,1.4673522077684906,galaxy?
5,1318.7608283629256,26.194176381121512,175.20370420891376,47.64116901365564,52.0,1.1956204008167899,1.3961368982113405,galaxy?
6,975.5182155010357,43.47545311864748,175.21351798571513,47.60393711110065,132.0,1.1094286794592803,1.9770506652149196,galaxy?
7,1812.5988209625855,44.910544651590286,175.1966285261179,47.69533684595977,64.0,1.0181219327318163,1.1567718823798385,star?
8,1141.9427750759644,68.6872648106679,175.21420223734196,47.622452779900236,28.0,1.5474246978248838,1.2811103518647102,galaxy?
9,1623.5425199442411,73.6304194948957,175.20515723744538,47.67509522858222,68.0,1.7340704195365644,1.676463991994459,galaxy?
10,619.2385159956148,76.38924686929924,175.226112899099,47.56549645566435,46.0,1.2340632640177593,1.3952888392547882,galaxy?
11,1534.9097980981112,91.042049977645,175.2097932461749,47.66565985401691,28.0,1.1874779159065194,1.2186542094941948,star?
12,2017.428732105153,91.37731142603872,175.19996975950707,47.718338587681295,36.0,1.109862152908867,1.2073108788907676,star?
13,292.2500596700148,93.47271418006837,175.23553392112765,47.53003443164154,22.0,1.129235447622154,0.8854333833583644,star?
14,1048.891090578855,104.44031196963341,175.22189246413717,47.61278736798684,21.0,1.113149041014163,1.0656501361085438,star?
15,1629.587700166509,105.73809032949957,175.21023942937995,47.67619817991222,41.0,1.341933947691186,1.239324623880828,galaxy?
16,1502.397489019561,109.8448919010974,175.21350599901564,47.66236994847847,44.0,1.4465643244790447,1.2787016520380958,galaxy?
17,1670.7624250652575,143.1091574043818,175.21545709699637,47.681208455205564,1915.0,1.2175326399680897,4.883516402013149,galaxy?
18,876.4114350928372,123.16787775371012,175.2284424444355,47.59421593238022,103.0,1.2085587485434437,2.1958732520460518,galaxy?
19,27.223558699577723,130.42929496679537,175.24689520481752,47.50160933868242,68.0,1.0679028170712288,1.4811555205076485,galaxy?
20,140.00429060434317,139.8291516917825,175.24612360391095,47.514051033443735,42.0,1.0348237437435037,1.0762473177759915,star?
21,137.3094736752575,153.8569253927384,175.24844590994928,47.513949604795954,200.0,1.1174639816983176,2.19193175365957,galaxy?
22,1090.1812955399641,158.0034595146251,175.22972510869448,47.61803267009553,28.0,1.55177132778647,1.43294973043616,galaxy?
23,1830.9106004162725,165.946587108027,175.2158862504108,47.69900617785442,24.0,1.019808965970109,1.0123430838565204,star?
24,1451.7704349817682,166.86298089087083,175.2237825116102,47.65762898520698,24.0,1.2803534209065113,0.9881781944166382,star?
25,231.48278369164865,189.8905359060181,175.25235872442497,47.52472579604211,440.0,2.6296564624984127,3.9226001804733244,galaxy?
26,1177.12828137415,203.23813237587248,175.23527972136617,47.62814724285327,63.0,2.8541359690839148,1.779549325812119,galaxy?
27,1118.0591046547788,212.27902713512637,175.23794801133886,47.62182299605728,27.0,1.1307531164373852,0.9251380715752658,star?
28,614.6884693287456,224.14784676970538,175.25011391234295,47.56703215685618,62.0,1.1843700584016148,1.646494528036147,galaxy?
29,1343.8399145711696,226.08100555848085,175.23558224839994,47.64666153241579,22.0,1.2481742978731234,1.0027170231751383,star?
30,1160.593768811841,228.6791913731879,175.23973802079627,47.62669212461282,35.0,1.0526878857384692,0.9976954666951374,star?
31,929.3512034124257,230.83857253561013,175.2447965182439,47.601476660478916,37.0,1.256054208345585,1.1852215519606226,star?
32,955.4079859229304,236.96787305008147,175.24525866123165,47.60440558761164,26.0,1.6376943956623577,1.0838107496978402,galaxy?
33,202.36370510190488,240.91485559083725,175.2611993806185,47.52224724890954,98.0,1.0213181828808555,1.26330517061533,star?
34,177.08012482163144,252.2361653907506,175.26354261089438,47.51964225197348,27.0,1.1219027213609976,1.0306482901693086,star?
35,1643.6193030156217,274.15676575742464,175.23726188909453,47.68005004571471,31.0,1.2438816522358642,1.101003273850216,star?
36,926.0564875785853,280.1844610781253,175.25285360848457,47.6017949845263,23.0,1.1382840460536212,0.9025622183311685,star?
37,1592.9139915083351,290.2334865709088,175.2409028547974,47.67473561203559,202.0,1.2290299107898428,2.1526592739458,galaxy?
38,449.90171734460876,286.99697611095354,175.2636291080007,47.54990452633327,24.0,1.5792303477168026,1.1055952677730085,galaxy?
39,1491.9096591913274,292.5725334507907,175.24334102285695,47.66374096621224,174.0,1.033692993806688,1.3993545326817034,galaxy?
40,223.55313425684503,298.1039309593688,175.2700161959068,47.52534504317996,94.0,1.2281745905077601,1.88644220562049,galaxy?
41,1273.5423795213321,294.32946342984377,175.24807401285992,47.63992545334551,21.0,1.1908311695306475,0.9605143219202135,star?
42,764.6561686902875,306.95895419759927,175.2604686936343,47.58454180805944,113.0,1.0627036066385975,1.3115551071331233,galaxy?
43,468.6115623343739,330.17783386152166,175.2702348376871,47.55253939796554,1160.0,1.090570339394631,3.723005686841597,galaxy?
44,1481.9567952572609,312.75748318013405,175.24681600173903,47.662931842328945,69.0,1.1255569485131667,1.5483516122901375,galaxy?
45,256.8593079425357,312.766357928567,175.2717119415853,47.5291823035647,40.0,1.1088303013020142,1.1503477595653222,star?
